District Name,state,Connected to All weather road,Internal Pucca Roads (Cc/ Brick Road),Public Transport,Public Distribution System(PDS),Piped tap water,Drainage facilities,Community waste disposal system,Community bio gas or recycle of waste for production use,Aanganwadi Centre,Children under 5 years who are wasted (weight-for-height)18 (%),classify
MADHUBANI (206),BH(3),822,834,944,757,887,526,38,31,1028,17.1,Low
MUNGER (207),BH(3),421,486,533,263,526,514,34,10,475,26.7,High
MUZAFFARPUR (208),BH(3),1315,1405,1510,1099,1677,1024,91,72,1624,19.9,High
NALANDA (209),BH(3),894,797,935,538,998,838,44,26,959,27.8,High
NAWADA (210),BH(3),669,753,825,466,946,910,42,34,878,18.2,Low
PASHCHIM CHAMPARAN (211),BH(3),973,1038,1185,757,1211,935,49,60,1234,13.2,Low
PATNA (212),BH(3),989,1149,890,716,1257,1099,47,50,1237,27.5,High
PURBI CHAMPARAN (213),BH(3),1046,1245,1171,976,1379,1025,135,71,1319,16.8,Low
PURNIA (214),BH(3),745,888,1066,694,655,340,77,49,1065,25.8,High
ROHTAS (215),BH(3),1326,1431,1588,624,1568,1568,180,149,1537,31.8,High
SAHARSA (216),BH(3),276,340,326,295,273,156,10,5,419,20.5,High
SAMASTIPUR (217),BH(3),932,895,978,836,1115,808,38,54,1114,21.3,High
SARAN (218),BH(3),1070,1057,1398,829,1568,1265,156,157,1439,28.8,High
SHEIKHPURA (219),BH(3),224,239,190,148,246,223,5,4,241,16.3,Low
SHEOHAR (220),BH(3),188,179,190,144,172,110,12,7,189,35.4,High
SITAMARHI (221),BH(3),622,660,790,606,813,636,56,45,781,16.2,Low
SIWAN (222),BH(3),1098,909,1098,865,1319,1028,114,98,1335,18.2,Low
SUPAUL (223),BH(3),420,455,428,456,301,169,33,28,523,25.8,High
VAISHALI (224),BH(3),1059,1062,1248,710,1408,1075,63,60,1282,19.6,High
ARWAL (611),BH(3),232,129,251,138,236,258,18,17,277,36.8,High
BASTAR (374),CH(4),465,438,473,379,501,402,80,36,591,20.4,High
BILASPUR (375),CH(4),555,511,384,470,450,411,97,29,649,24,High
DANTEWADA (376),CH(4),145,113,120,136,111,82,21,12,202,19.4,High
DHAMTARI (377),CH(4),524,566,345,357,535,499,96,36,598,17.9,Low
DURG (378),CH(4),367,334,213,313,288,296,107,22,385,16.9,Low
JANJGIR-CHAMPA (379),CH(4),750,709,482,606,517,512,101,41,864,24.6,High
JASHPUR (380),CH(4),590,578,545,471,246,419,114,25,747,17,Low
KANKER (381),CH(4),618,670,439,590,663,410,155,47,1010,18.7247392,Low
KABIRDHAM (382),CH(4),797,768,400,502,507,637,101,28,928,12,Low
KORBA (383),CH(4),545,519,368,400,342,426,98,33,693,14.7,Low
KOREA (384),CH(4),422,372,415,320,219,211,24,14,606,18.1,Low
MAHASAMUND (385),CH(4),927,942,497,604,895,727,165,77,1056,14,Low
RAIGARH (386),CH(4),1092,1118,658,753,931,741,214,84,1362,14.9,Low
RAIPUR (387),CH(4),443,408,239,387,333,407,94,25,475,21.7,High
RAJNANDGAON (388),CH(4),1347,1301,809,820,1165,1004,364,53,1554,19.4,High
SURGUJA (389),CH(4),508,524,475,485,347,386,92,58,567,17.5,Low
BIJAPUR (636),CH(4),82,132,98,123,87,28,18,8,402,20,High
NARAYANPUR (637),CH(4),106,108,50,114,169,77,17,3,254,21.5,High
SUKMA (642),CH(4),132,115,128,120,108,55,10,3,249,21.2,High
KONDAGAON (643),CH(4),417,315,414,358,272,196,26,12,550,22.8,High
BALODA BAZAR (644),CH(4),815,810,405,607,506,520,499,66,929,19.4,High
GARIYABAND (645),CH(4),532,504,302,360,370,325,220,29,645,21.9,High
BALOD (646),CH(4),597,580,367,444,506,506,233,39,670,15.1,Low
MUNGELI (647),CH(4),585,576,452,381,374,426,85,24,636,17.7,Low
SURAJPUR (648),CH(4),441,402,339,415,266,319,82,18,539,19.3,High
BALRAMPUR (649),CH(4),490,453,486,455,330,208,101,24,610,23,High
BEMETARA (650),CH(4),626,585,332,397,473,497,84,18,672,16.4,Low
Gaurella Pendra Marwahi (734),CH(4),173,155,164,169,93,122,29,8,222,18.7247392,Low
DAMAN (463),DD(5),27,28,28,19,28,28,15,0,27,25.2,High
DIU (464),DD(5),4,4,4,3,4,4,3,0,4,17.4,Low
DADRA AND NAGAR HAVELI (465),DD(5),68,56,69,55,68,28,48,9,67,20.9,High
NORTH GOA (551),GO(6),208,198,204,132,208,191,74,13,187,17.7,Low
SOUTH GOA (552),GO(6),168,153,164,100,171,170,43,6,148,21.4,High
AHMADABAD (438),GJ(7),431,452,474,404,480,414,380,217,476,17.5,Low
AMRELI (439),GJ(7),589,562,602,531,601,571,321,135,603,23.7,High
ANAND (440),GJ(7),355,354,362,351,362,363,344,59,362,28.6,High
BANAS KANTHA (441),GJ(7),1156,1090,1199,1082,1229,1083,956,524,1241,25.5,High
BHARUCH (442),GJ(7),651,645,654,496,657,651,569,320,658,24.5,High
BHAVNAGAR (443),GJ(7),658,625,680,633,682,667,597,346,677,29.6,High
DANG (444),GJ(7),304,308,308,112,307,181,89,13,309,18.7247392,Low
DOHAD (445),GJ(7),729,638,724,698,714,537,632,325,736,27.8,High
GANDHINAGAR (446),GJ(7),283,274,284,239,292,278,199,73,285,30.6,High
JAMNAGAR (447),GJ(7),400,389,418,389,424,401,347,115,421,23.8,High
JUNAGADH (448),GJ(7),488,484,496,446,500,455,320,214,495,17.3,Low
KACHCHH (449),GJ(7),883,747,923,639,937,770,621,342,863,20.2,High
KHEDA (450),GJ(7),528,470,562,513,563,546,496,333,561,30.9,High
MAHESANA (451),GJ(7),647,655,658,584,660,648,595,245,652,28.2,High
NARMADA (452),GJ(7),517,518,522,303,545,464,429,328,536,23,High
NAVSARI (453),GJ(7),366,331,369,304,384,379,258,115,385,29,High
PANCH MAHALS (454),GJ(7),607,538,614,492,606,512,431,262,634,35.7,High
PATAN (455),GJ(7),521,510,527,491,527,518,465,313,527,20.9,High
PORBANDAR (456),GJ(7),139,137,151,127,148,105,103,40,150,21.8,High
RAJKOT (457),GJ(7),575,562,594,487,593,579,349,139,594,17.6,Low
SABAR KANTHA (458),GJ(7),617,603,684,532,682,560,412,221,688,33.1,High
SURAT (459),GJ(7),692,685,687,597,698,667,382,193,686,26,High
SURENDRANAGAR (460),GJ(7),530,507,542,489,554,525,445,91,550,27.1,High
VADODARA (461),GJ(7),639,625,647,419,667,648,499,164,641,20.1,High
VALSAD (462),GJ(7),465,406,465,448,469,411,291,173,472,23.2,High
TAPI (641),GJ(7),477,447,486,429,488,459,356,303,485,36.6,High
CHHOTAUDEPUR (668),GJ(7),855,850,877,673,888,797,769,613,813,28.6,High
Mahisagar (669),GJ(7),722,714,712,684,722,716,647,523,692,26.2,High
ARVALLI (672),GJ(7),641,622,677,489,673,506,438,177,648,29,High
MORBI (673),GJ(7),357,360,364,294,364,359,331,124,363,25.2,High
DEVBHUMI DWARKA (674),GJ(7),245,242,247,239,246,243,232,146,248,26.1,High
GIR SOMNATH (675),GJ(7),324,297,341,316,338,334,297,188,339,18.5,Low
BOTAD (676),GJ(7),188,190,191,183,191,189,184,91,189,26,High
BILASPUR (15),HP(8),688,538,799,369,964,727,120,17,754,12,Low
CHAMBA (16),HP(8),492,440,759,548,1092,808,194,55,868,15.4,Low
HAMIRPUR (17),HP(8),1280,1089,1494,624,1642,1397,274,89,1125,14.9,Low
KANGRA (18),HP(8),2745,2355,3214,1552,3522,3046,246,71,2752,19.4,High
KINNAUR (19),HP(8),121,84,168,80,235,190,65,14,149,11.3,Low
KULLU (20),HP(8),340,262,401,337,446,426,126,13,378,16.1,Low
LAHUL AND SPITI (21),HP(8),116,146,205,71,251,199,134,19,117,16.3,Low
MANDI (22),HP(8),1750,1290,2104,1052,2730,1819,678,167,2016,19.9,High
SHIMLA (23),HP(8),1568,939,2088,665,2623,1683,537,142,1540,15.5,Low
SIRMAUR (24),HP(8),691,416,833,422,943,737,219,51,755,18.5,Low
SOLAN (25),HP(8),1629,1106,1849,522,2311,1681,199,60,1050,20.9,High
UNA (26),HP(8),665,612,686,444,786,657,93,52,616,13.1,Low
AMBALA (58),HR(9),419,437,373,203,461,441,135,53,468,10.9,Low
BHIWANI (59),HR(9),352,363,338,293,366,367,83,14,366,6,Low
FARIDABAD (60),HR(9),102,100,68,49,110,102,27,17,113,8,Low
FATEHABAD (61),HR(9),286,286,256,176,313,305,81,52,312,16,Low
GURUGRAM (62),HR(9),165,182,163,97,195,183,42,14,175,15.7,Low
HISAR (63),HR(9),292,282,306,214,311,304,60,26,314,16.4,Low
JHAJJAR (64),HR(9),252,269,241,206,270,260,56,16,270,8,Low
JIND (65),HR(9),307,288,308,283,311,309,69,55,311,8.8,Low
KAITHAL (66),HR(9),302,303,261,206,319,295,63,40,314,20.7,High
KARNAL (67),HR(9),471,503,373,379,524,507,120,36,508,9.8,Low
KURUKSHETRA (68),HR(9),442,459,333,312,465,434,80,35,453,12.8,Low
MAHENDRAGARH (69),HR(9),336,361,281,202,350,359,60,14,361,8.4,Low
PANCHKULA (70),HR(9),160,164,142,75,188,173,35,10,182,12,Low
PANIPAT (71),HR(9),186,189,171,120,193,188,53,31,194,9.9,Low
REWARI (72),HR(9),373,378,330,271,404,402,101,27,404,9.3,Low
ROHTAK (73),HR(9),128,116,136,102,130,122,31,13,144,12.5,Low
SIRSA (74),HR(9),328,360,339,237,366,349,73,47,370,12.6,Low
SONIPAT (75),HR(9),327,308,324,258,343,327,51,18,340,9.2,Low
YAMUNANAGAR (76),HR(9),562,578,405,273,656,614,109,76,624,12.1,Low
MEWAT (604),HR(9),348,377,366,264,400,402,26,11,408,14.2,Low
NUH (604),HR(9),3,2,3,2,3,3,0,0,3,18.7247392,Low
PALWAL (619),HR(9),258,247,253,119,304,275,39,25,287,9.9,Low
CHARKI DADRI (701),HR(9),154,168,162,105,176,165,21,4,180,10.6,Low
ANANTNAG (1),JK(10),344,288,358,331,408,399,25,15,405,24.9,High
BADGAM (2),JK(10),415,356,444,396,493,472,34,31,487,18.9,High
BARAMULLA (3),JK(10),478,390,506,472,575,557,13,10,584,18.2,Low
DODA (4),JK(10),112,126,293,234,347,339,10,5,363,9.5,Low
JAMMU (5),JK(10),700,525,723,510,707,744,21,10,747,18,Low
KATHUA (7),JK(10),370,365,396,299,476,438,2,2,477,22.5,High
KUPWARA (8),JK(10),392,299,431,386,464,451,11,9,489,25.1,High
POONCH (10),JK(10),102,105,182,125,239,201,18,4,256,15.6,Low
PULWAMA (11),JK(10),286,275,277,276,311,302,16,3,312,15.3,Low
RAJAURI (12),JK(10),255,192,345,312,400,360,15,12,436,22.5,High
SRINAGAR (13),JK(10),19,15,24,19,24,16,0,0,26,18.6,Low
UDHAMPUR (14),JK(10),239,216,341,202,371,211,5,3,370,19.8,High
KISHTWAR (620),JK(10),66,69,107,119,161,133,6,5,189,22.8,High
RAMBAN (621),JK(10),46,46,116,90,138,71,1,0,155,15.6,Low
KULGAM (622),JK(10),247,235,242,237,266,272,6,3,273,11.3,Low
BANDIPORA (623),JK(10),105,126,139,15,153,153,11,5,151,14,Low
SAMBA (624),JK(10),238,201,253,118,318,300,2,0,298,20.4,High
SHOPIAN (625),JK(10),193,176,149,182,219,211,9,2,215,32.8,High
GANDERBAL (626),JK(10),132,132,157,154,171,153,13,6,169,25.9,High
REASI (627),JK(10),85,77,140,120,220,163,0,2,219,13,Low
BOKARO (322),JH(11),411,369,298,398,278,292,89,25,641,19.7,High
CHATRA (323),JH(11),526,784,710,435,240,493,28,26,775,17.2,Low
DEOGHAR (324),JH(11),966,1479,1383,458,660,1349,64,50,1172,17.7,Low
DHANBAD (325),JH(11),667,699,486,478,438,511,73,63,867,14,Low
DUMKA (326),JH(11),1130,1758,1496,586,947,1534,230,121,1655,27.8,High
EAST SINGHBUM (327),JH(11),810,1061,676,467,681,561,27,28,1107,30.5,High
GARHWA (328),JH(11),378,398,664,396,178,243,15,24,643,18.9,High
GIRIDIH (329),JH(11),1147,1581,1513,833,581,1147,91,96,1562,27.8,High
GODDA (330),JH(11),807,1170,1038,500,501,829,149,59,1095,24.5,High
GUMLA (331),JH(11),507,587,616,393,395,280,35,17,844,20.1,High
HAZARIBAGH (332),JH(11),655,973,810,578,351,616,14,21,918,16.2,Low
JAMTARA (333),JH(11),472,707,294,278,191,371,23,23,811,23,High
KODERMA (334),JH(11),273,362,402,184,201,340,46,42,433,18,Low
LATEHAR (335),JH(11),407,506,540,328,265,322,17,21,625,19.2,High
LOHARDAGA (336),JH(11),222,222,276,201,195,247,10,9,328,26.6,High
PAKUR (337),JH(11),332,486,588,180,283,562,53,24,769,23.6,High
PALAMU (338),JH(11),624,1114,1183,634,464,937,41,35,1154,18.4,Low
RANCHI (339),JH(11),799,922,818,715,709,616,37,26,1186,32.7,High
SAHEBGANJ (340),JH(11),463,552,663,237,411,440,21,25,807,19.7,High
SARAIKELA KHARSAWAN (341),JH(11),564,638,380,366,430,282,21,20,865,32.9,High
SIMDEGA (342),JH(11),166,204,343,197,128,69,13,11,424,21.1,High
WEST SINGHBHUM (343),JH(11),699,916,835,698,650,579,12,12,1417,29.4,High
KHUNTI (606),JH(11),494,614,602,340,381,329,13,8,623,32.1,High
RAMGARH (607),JH(11),201,249,175,203,185,187,38,12,305,23.5,High
BAGALKOT (524),KA(12),474,412,584,271,600,493,92,66,614,16.9,Low
BENGALURU URBAN (525),KA(12),642,615,729,319,738,722,141,49,617,19.2,High
BENGALURU RURAL (526),KA(12),978,900,1020,352,1177,1115,173,105,916,16.2,Low
BELAGAVI (527),KA(12),1016,802,1121,678,1161,1076,184,174,1206,23.6,High
BALLARI (528),KA(12),612,523,733,361,752,717,175,75,753,22.9,High
BIDAR (529),KA(12),507,442,585,254,595,559,58,43,619,22.1,High
VIJAYAPURA (530),KA(12),520,466,635,322,632,522,95,55,654,15,Low
CHAMARAJANAGAR (531),KA(12),582,530,709,342,732,712,118,41,694,18,Low
CHIKKAMAGALURU (532),KA(12),750,649,852,363,971,947,250,83,865,24.9,High
CHITRADURGA (533),KA(12),1119,978,1314,469,1423,1302,168,99,1334,17.9,Low
DAKSHIN KANNAD (534),KA(12),312,285,361,253,363,320,137,76,360,30.5,High
DAVANGERE (535),KA(12),570,517,599,318,693,681,80,58,687,18.8,High
DHARWAD (536),KA(12),281,242,331,193,338,285,61,35,338,16.5,Low
GADAG (537),KA(12),280,209,311,169,309,280,76,48,318,18.2,Low
KALABURAGI (538),KA(12),582,551,786,340,823,695,113,65,844,25,High
HASSAN (539),KA(12),1781,1624,2233,666,2353,2230,199,113,1877,15.2,Low
HAVERI (540),KA(12),603,484,654,312,683,628,60,48,700,17.7,Low
KODAGU (541),KA(12),363,406,526,218,544,537,147,44,456,21.7,High
KOLAR (542),KA(12),1312,1152,1463,462,1641,1544,162,105,1373,15.5,Low
KOPPAL (543),KA(12),515,423,587,254,601,571,77,30,592,23.1,High
MANDYA (544),KA(12),1120,822,1317,600,1466,1405,298,161,1364,11.8,Low
MYSURU (545),KA(12),1129,950,1376,621,1422,1411,194,87,1354,15.6,Low
RAICHUR (546),KA(12),610,510,761,300,789,719,146,58,799,23.2,High
SHIVAMOGGA (547),KA(12),1078,750,1252,417,1478,1346,176,111,1321,23.2,High
TUMAKURU (548),KA(12),1878,1670,2166,760,2320,2204,326,179,2143,10.9,Low
UDUPI (549),KA(12),229,208,245,197,246,223,148,75,248,17.6,Low
UTTAR KANNAD (550),KA(12),889,723,1021,309,1101,1054,90,44,1016,21.9,High
CHIKBALLAPUR (630),KA(12),1167,1199,1410,470,1564,1520,293,127,1369,16.1,Low
RAMANAGARA (631),KA(12),746,711,809,390,832,831,173,92,783,20,High
YADGIR (635),KA(12),327,350,467,158,466,428,58,29,471,17.7,Low
ALAPPUZHA (554),KL(13),96,93,97,95,89,85,29,6,96,14.4,Low
ERNAKULAM (555),KL(13),119,120,120,117,120,119,23,8,119,17.1,Low
IDUKKI (556),KL(13),90,86,90,81,89,87,27,5,90,14.5,Low
KANNUR (557),KL(13),109,107,109,109,109,108,39,10,109,14,Low
KASARAGOD (558),KL(13),124,106,124,112,124,119,11,3,124,12.6,Low
KOLLAM (559),KL(13),109,107,109,100,109,102,37,7,102,21.4,High
KOTTAYAM (560),KL(13),117,119,122,108,121,118,16,6,114,8.4,Low
KOZHIKODE (561),KL(13),99,98,100,99,99,98,21,5,100,14.1,Low
MALAPPURAM (562),KL(13),121,119,122,121,122,122,50,10,122,18.2,Low
PALAKKAD (563),KL(13),151,147,151,149,151,150,46,7,150,21.7,High
PATHANAMTHITTA (564),KL(13),75,75,75,75,75,75,28,9,75,11.4,Low
THIRUVANANTHAPURAM (565),KL(13),104,103,104,104,104,104,36,23,104,17.4,Low
THRISSUR (566),KL(13),212,215,215,212,214,214,29,8,214,9.6,Low
WAYANAD (567),KL(13),52,52,52,49,52,51,4,1,52,16.1,Low
KARGIL (6),LA(14),86,64,104,107,88,33,1,0,135,17.7,Low
LEH LADAKH (9),LA(14),105,59,75,110,82,23,15,2,127,17.2,Low
BISHNUPUR (252),MA(15),84,61,87,77,44,90,16,2,88,7.9,Low
CHANDEL (253),MA(15),89,40,144,120,98,193,64,2,264,8.3,Low
CHURACHANDPUR (254),MA(15),312,131,424,415,216,430,19,5,531,12.1,Low
IMPHAL EAST (255),MA(15),174,89,200,184,117,204,15,1,203,11.7,Low
IMPHAL WEST (256),MA(15),129,58,149,140,107,144,23,0,138,9.3,Low
SENAPATI (257),MA(15),68,36,101,85,67,116,17,0,128,10.7,Low
TAMENGLONG (258),MA(15),18,6,29,46,16,33,2,0,81,9.6,Low
THOUBAL (259),MA(15),70,37,86,88,60,79,9,2,82,8.3,Low
UKHRUL (260),MA(15),27,15,40,62,43,68,1,1,89,11.6,Low
KAKCHING (711),MA(15),43,31,52,50,22,47,10,0,49,18.7247392,Low
KANGPOKPI (712),MA(15),207,69,452,329,192,318,17,10,400,18.7247392,Low
JIRIBAM (713),MA(15),24,22,63,52,0,34,2,0,68,18.7247392,Low
NONEY (714),MA(15),21,7,17,39,23,15,2,0,61,18.7247392,Low
PHERZAWL (715),MA(15),19,7,17,56,10,21,4,0,74,18.7247392,Low
TENGNOUPAL (716),MA(15),135,32,169,128,77,157,8,2,179,18.7247392,Low
KAMJONG (717),MA(15),31,12,41,64,55,47,2,1,120,18.7247392,Low
EAST GARO HILLS (273),MG(16),208,135,225,275,137,90,37,2,208,20.1,High
EAST KHASI HILLS (274),MG(16),454,363,594,483,627,539,148,13,636,11.2,Low
WEST JAINTIA HILLS (275),MG(16),192,162,206,150,127,155,25,5,212,9.7,Low
RI BHOI (276),MG(16),262,238,340,219,357,238,117,9,347,17.9,Low
SOUTH GARO HILLS (277),MG(16),152,88,216,144,137,105,40,6,227,18.3,Low
WEST GARO HILLS (278),MG(16),273,307,558,254,207,246,25,18,583,14.9,Low
WEST KHASI HILLS (279),MG(16),228,109,308,281,236,162,84,1,381,8,Low
NORTH GARO HILLS (656),MG(16),259,178,324,284,150,406,2,2,289,11.7,Low
EAST JAINTIA HILLS (657),MG(16),70,53,72,80,58,66,25,2,96,8.5,Low
SOUTH WEST KHASI HILLS (658),MG(16),126,108,140,150,142,70,50,5,161,10.4,Low
SOUTH WEST GARO HILLS (663),MG(16),262,211,371,161,136,113,14,4,305,19.9,High
AHMEDNAGAR (466),MH(17),1094,816,1146,922,1361,1114,416,296,1533,24.9,High
AKOLA (467),MH(17),587,560,806,420,808,721,85,30,764,19.4,High
AMRAVATI (468),MH(17),997,971,1399,727,1555,1284,278,82,1416,26.2,High
AURANGABAD (469),MH(17),871,585,965,678,1110,897,253,133,1234,26.4,High
BEED (470),MH(17),900,813,1236,947,1196,1085,93,39,1331,28.4,High
BHANDARA (471),MH(17),566,541,548,370,658,666,265,128,741,28.4,High
BULDHANA (472),MH(17),799,704,1226,689,1136,1026,114,63,1187,31.7,High
CHANDRAPUR (473),MH(17),945,1043,1237,458,1257,1277,270,107,1437,38.5,High
DHULE (474),MH(17),572,492,632,391,643,556,75,22,656,38.9,High
GADCHIROLI (475),MH(17),747,761,761,633,857,1121,149,42,1400,30,High
GONDIA (476),MH(17),639,583,537,379,705,700,342,129,826,23.7,High
